Geography,Geographic Area Name,Total
0500000US01001,"Autauga County, Alabama",55181
0500000US01003,"Baldwin County, Alabama",215170
0500000US01005,"Barbour County, Alabama",22070
0500000US01007,"Bibb County, Alabama",20748
0500000US01009,"Blount County, Alabama",57127
0500000US01011,"Bullock County, Alabama",9713
0500000US01013,"Butler County, Alabama",19411
0500000US01015,"Calhoun County, Alabama",111229
0500000US01017,"Chambers County, Alabama",32875
0500000US01019,"Cherokee County, Alabama",25680
0500000US01021,"Chilton County, Alabama",43478
0500000US01023,"Choctaw County, Alabama",12544
0500000US01025,"Clarke County, Alabama",23445
0500000US01027,"Clay County, Alabama",13002
0500000US01029,"Cleburne County, Alabama",14736
0500000US01031,"Coffee County, Alabama",51427
0500000US01033,"Colbert County, Alabama",54330
0500000US01035,"Conecuh County, Alabama",12164
0500000US01037,"Coosa County, Alabama",10267
0500000US01039,"Covington County, Alabama",36355
0500000US01041,"Crenshaw County, Alabama",13558
0500000US01043,"Cullman County, Alabama",82072
0500000US01045,"Dale County, Alabama",47697
0500000US01047,"Dallas County, Alabama",37558
0500000US01049,"DeKalb County, Alabama",70471
0500000US01051,"Elmore County, Alabama",76834
0500000US01053,"Escambia County, Alabama",33720
0500000US01055,"Etowah County, Alabama",101456
0500000US01057,"Fayette County, Alabama",16106
0500000US01059,"Franklin County, Alabama",31163
0500000US01061,"Geneva County, Alabama",26082
0500000US01063,"Greene County, Alabama",8132
0500000US01065,"Hale County, Alabama",14512
0500000US01067,"Henry County, Alabama",16619
0500000US01069,"Houston County, Alabama",104205
0500000US01071,"Jackson County, Alabama",51195
0500000US01073,"Jefferson County, Alabama",643916
0500000US01075,"Lamar County, Alabama",13634
0500000US01077,"Lauderdale County, Alabama",90823
0500000US01079,"Lawrence County, Alabama",32671
0500000US01081,"Lee County, Alabama",157351
0500000US01083,"Limestone County, Alabama",93472
0500000US01085,"Lowndes County, Alabama",9794
0500000US01087,"Macon County, Alabama",16161
0500000US01089,"Madison County, Alabama",358380
0500000US01091,"Marengo County, Alabama",18882
0500000US01093,"Marion County, Alabama",29268
0500000US01095,"Marshall County, Alabama",94762
0500000US01097,"Mobile County, Alabama",406762
0500000US01099,"Monroe County, Alabama",20718
0500000US01101,"Montgomery County, Alabama",218646
0500000US01103,"Morgan County, Alabama",117132
0500000US01105,"Perry County, Alabama",8296
