"disasterNumber","state","declarationType","fyDeclared","declarationTitle","incidentBeginDate","placeCode","designatedArea","durationInMonths","declarationInMonths","waitingTime"
4731,"CO","DR",2023,"SEVERE STORMS, FLOODING, AND TORNADOES",2023-06-08,99009,"Baca (County)",0.49,NA,2.56
4731,"CO","DR",2023,"SEVERE STORMS, FLOODING, AND TORNADOES",2023-06-08,99061,"Kiowa (County)",0.49,NA,2.56
4731,"CO","DR",2023,"SEVERE STORMS, FLOODING, AND TORNADOES",2023-06-08,99099,"Prowers (County)",0.49,NA,2.56
4731,"CO","DR",2023,"SEVERE STORMS, FLOODING, AND TORNADOES",2023-06-08,99119,"Teller (County)",0.49,NA,2.56
4744,"VT","DR",2024,"SEVERE STORMS AND FLOODING",2023-08-03,99001,"Addison (County)",0.07,NA,2.1
4720,"VT","DR",2023,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-07-07,99001,"Addison (County)",0.46,NA,0.23
4720,"VT","DR",2023,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-07-07,99003,"Bennington (County)",0.46,NA,0.23
4720,"VT","DR",2023,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-07-07,99009,"Essex (County)",0.46,NA,0.23
4720,"VT","DR",2023,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-07-07,99011,"Franklin (County)",0.46,NA,0.23
4720,"VT","DR",2023,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-07-07,99013,"Grand Isle (County)",0.46,NA,0.23
4720,"VT","DR",2023,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-07-07,99005,"Caledonia (County)",0.46,NA,0.23
4720,"VT","DR",2023,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-07-07,99007,"Chittenden (County)",0.46,NA,0.23
4720,"VT","DR",2023,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-07-07,99015,"Lamoille (County)",0.46,NA,0.23
4720,"VT","DR",2023,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-07-07,99017,"Orange (County)",0.46,NA,0.23
4720,"VT","DR",2023,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-07-07,99019,"Orleans (County)",0.46,NA,0.23
4720,"VT","DR",2023,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-07-07,99021,"Rutland (County)",0.46,NA,0.23
4720,"VT","DR",2023,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-07-07,99023,"Washington (County)",0.46,NA,0.23
4720,"VT","DR",2023,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-07-07,99025,"Windham (County)",0.46,NA,0.23
4720,"VT","DR",2023,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-07-07,99027,"Windsor (County)",0.46,NA,0.23
4745,"MT","DR",2024,"FLOODING",2023-06-01,99009,"Carbon (County)",0.23,NA,4.34
4745,"MT","DR",2024,"FLOODING",2023-06-01,99019,"Daniels (County)",0.23,NA,4.34
4745,"MT","DR",2024,"FLOODING",2023-06-01,99027,"Fergus (County)",0.23,NA,4.34
4745,"MT","DR",2024,"FLOODING",2023-06-01,99033,"Garfield (County)",0.23,NA,4.34
4745,"MT","DR",2024,"FLOODING",2023-06-01,99037,"Golden Valley (County)",0.23,NA,4.34
4745,"MT","DR",2024,"FLOODING",2023-06-01,99065,"Musselshell (County)",0.23,NA,4.34
4745,"MT","DR",2024,"FLOODING",2023-06-01,99069,"Petroleum (County)",0.23,NA,4.34
4745,"MT","DR",2024,"FLOODING",2023-06-01,99071,"Phillips (County)",0.23,NA,4.34
4745,"MT","DR",2024,"FLOODING",2023-06-01,99095,"Stillwater (County)",0.23,NA,4.34
4745,"MT","DR",2024,"FLOODING",2023-06-01,99103,"Treasure (County)",0.23,NA,4.34
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99013,"Bell (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99025,"Breathitt (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99033,"Caldwell (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99043,"Carter (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99051,"Clay (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99063,"Elliott (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99071,"Floyd (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99095,"Harlan (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99099,"Hart (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99115,"Johnson (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99119,"Knott (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99127,"Lawrence (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99129,"Lee (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99131,"Leslie (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99133,"Letcher (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99153,"Magoffin (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99175,"Morgan (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99189,"Owsley (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99193,"Perry (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99197,"Powell (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99235,"Whitley (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99237,"Wolfe (County)",0.16,NA,2.73
4709,"FL","DR",2023,"SEVERE STORMS, TORNADOES, AND FLOODING",2023-04-12,99011,"Broward (County)",0.07,NA,0.49
